Support Loss	Context Loss	Support Acc.	Context Acc.	
0.127410	0.158115	82.421875	73.333336	
0.109409	0.113843	82.421875	83.333336	
0.109364	0.115357	82.812500	77.777779	
0.132729	0.121134	82.812500	73.333336	
0.117680	0.144732	78.125000	74.444450	
0.104940	0.106608	83.593750	81.111115	
0.155396	0.124610	78.125000	78.888893	
0.134101	0.123620	80.859375	77.777779	
0.102794	0.124004	85.156250	73.333336	
0.136052	0.096965	82.421875	83.333336	
0.116458	0.124386	87.500000	80.000000	
0.121380	0.117136	81.640625	76.666672	
0.119591	0.110808	81.640625	80.000000	
0.115173	0.112703	84.765625	82.222229	
0.096232	0.092187	85.546875	83.333336	
0.147552	0.108840	80.468750	80.000000	
0.107375	0.116285	83.203125	77.777779	
0.121334	0.127616	82.812500	75.555557	
0.108774	0.112591	84.765625	75.555557	
0.116311	0.092735	86.328125	83.333336	
0.107949	0.149987	83.984375	72.222229	
0.121562	0.106185	83.984375	83.333336	
0.093509	0.141590	89.062500	75.555557	
0.103988	0.072533	84.765625	91.111115	
0.099305	0.110354	85.546875	82.222229	
0.105115	0.086723	83.203125	86.666672	
0.123584	0.085920	82.031250	81.111115	
0.102281	0.116883	87.109375	78.888893	
0.113492	0.079169	85.546875	88.888893	
0.103761	0.121821	86.328125	77.777779	
0.118123	0.097999	85.156250	82.222229	
0.085867	0.101811	88.671875	82.222229	
0.133444	0.108478	82.421875	82.222229	
0.133687	0.092792	80.859375	85.555557	
0.119663	0.091901	80.468750	82.222229	
0.088509	0.106368	87.109375	78.888893	
0.106027	0.095668	82.812500	85.555557	
0.106735	0.110352	83.984375	80.000000	
0.105500	0.113830	83.593750	73.333336	
0.105200	0.104447	85.546875	80.000000	
0.097346	0.105652	85.546875	84.444450	
0.094352	0.102812	87.500000	84.444450	
0.113899	0.118482	84.375000	76.666672	
0.094866	0.102175	80.468750	87.777779	
0.085683	0.084881	87.890625	85.555557	
0.112070	0.110628	83.984375	77.777779	
0.115684	0.110547	83.593750	77.777779	
0.104405	0.119311	85.937500	76.666672	
0.103892	0.098160	84.765625	88.888893	
0.108853	0.088275	86.718750	85.555557	
0.108363	0.122523	86.328125	75.555557	
0.108631	0.110541	86.328125	77.777779	
0.099910	0.092105	86.328125	83.333336	
0.108359	0.137491	84.375000	76.666672	
0.094827	0.115026	87.890625	77.777779	
0.112694	0.091855	86.718750	83.333336	
0.120999	0.103471	85.156250	83.333336	
0.100958	0.102725	84.765625	82.222229	
0.105271	0.106760	83.984375	81.111115	
0.099333	0.080143	84.375000	88.888893	
0.118052	0.097640	86.328125	81.111115	
0.101111	0.139320	84.375000	73.333336	
0.108800	0.114063	87.500000	78.888893	
0.112300	0.089593	87.890625	86.666672	
0.116656	0.079687	85.546875	91.111115	
0.099178	0.117311	86.328125	80.000000	
0.092041	0.093411	86.718750	82.222229	
0.086748	0.101934	83.593750	84.444450	
0.104975	0.092880	85.156250	82.222229	
0.084904	0.118557	85.937500	83.333336	
0.090467	0.083159	87.500000	88.888893	
0.094313	0.105279	87.890625	83.333336	
0.111974	0.092424	85.156250	85.555557	
0.077152	0.109991	85.546875	81.111115	
0.098235	0.088443	85.546875	84.444450	
0.098758	0.105071	86.328125	78.888893	
0.103615	0.083016	85.156250	85.555557	
0.092679	0.083176	84.765625	87.777779	
0.087785	0.109428	85.937500	82.222229	
0.096302	0.101435	84.765625	78.888893	
0.091601	0.110244	88.281250	80.000000	
0.099155	0.102584	83.593750	81.111115	
0.078064	0.083175	89.062500	86.666672	
0.089947	0.089927	84.375000	84.444450	
0.092037	0.086121	87.500000	85.555557	
0.109367	0.087868	85.937500	86.666672	
0.096956	0.100304	84.765625	78.888893	
0.094693	0.098566	84.375000	84.444450	
0.098907	0.071582	85.156250	91.111115	
0.093563	0.104434	87.109375	81.111115	
0.090134	0.082147	84.765625	87.777779	
0.104120	0.087124	81.250000	84.444450	
0.089837	0.093416	86.328125	84.444450	
0.088517	0.077404	86.328125	88.888893	
0.088063	0.100064	85.937500	82.222229	
0.096930	0.075125	85.937500	88.888893	
0.075683	0.092408	91.796875	83.333336	
0.090703	0.071218	86.718750	86.666672	
0.091115	0.083989	87.500000	88.888893	
0.101502	0.095348	84.765625	84.444450	
0.083433	0.093659	89.062500	85.555557	
0.098794	0.086518	85.546875	87.777779	
0.064992	0.076392	88.281250	86.666672	
0.101433	0.061872	85.937500	90.000008	
0.099751	0.092969	85.546875	84.444450	
0.098367	0.104241	87.109375	82.222229	
0.104978	0.095241	88.281250	86.666672	
0.097775	0.098666	84.765625	84.444450	
0.081073	0.094882	89.453125	83.333336	
0.073383	0.114800	89.062500	81.111115	
0.097770	0.082753	85.546875	85.555557	
0.094155	0.116824	85.937500	77.777779	
0.101833	0.085223	85.546875	82.222229	
0.087053	0.114124	90.625000	77.777779	
0.111586	0.098741	83.984375	85.555557	
0.095538	0.125721	86.718750	78.888893	
