Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.400000	0.411111	0.440262	0.443794	
0.566667	0.622222	0.559536	0.564783	
0.522222	0.522222	0.608678	0.613522	
0.788889	0.788889	0.785066	0.786579	
0.811111	0.800000	0.810898	0.810999	
0.744444	0.744444	0.793441	0.794248	
0.666667	0.677778	0.711504	0.717154	
0.688889	0.700000	0.664985	0.671140	
0.511111	0.522222	0.501211	0.514430	
0.488889	0.511111	0.464783	0.475277	
0.444444	0.466667	0.479112	0.486579	
0.577778	0.611111	0.567205	0.571948	
0.600000	0.633333	0.594147	0.597780	
0.633333	0.644444	0.663572	0.665489	
0.666667	0.677778	0.696771	0.701312	
0.600000	0.600000	0.601110	0.604541	
0.588889	0.588889	0.487588	0.493946	
0.466667	0.477778	0.454793	0.460747	
0.277778	0.300000	0.341776	0.347023	
0.300000	0.300000	0.256811	0.263471	
