task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,35.54994954591322,40.12108980827447,44.4803229061554,56.74066599394551,59.43491422805247,58.19374369323915,52.96670030272452,51.63471241170535,41.79616548940464,35.6912209889001,32.401614530776996,27.51765893037336,26.659939455095863,21.735620585267405,20.726538849646822,20.474268415741676,20.211907164480323,22.89606458123108,23.04742684157417,24.79313824419778
1,42.2401614530777,50.020181634712415,54.914228052472254,66.78102926337033,69.51564076690212,67.91120080726539,61.66498486377397,57.648839556004035,45.90312815338042,46.09485368314834,46.14530776992937,54.43995963673058,55.37840565085772,61.14026236125126,62.73461150353179,60.141271442986884,54.117053481331986,52.82542885973764,44.752774974772954,36.31685166498487
2,43.48133198789102,55.085771947527746,60.141271442986884,77.26538849646822,79.79818365287588,78.63773965691222,71.74571140262361,67.80020181634713,52.875882946518665,50.82744702320888,50.343087790111,58.02219979818365,59.71745711402624,66.44803229061554,69.42482341069626,62.39152371342079,53.68314833501513,50.05045408678103,39.182643794147324,28.456104944500506
3,41.372351160444,53.35015136226034,59.05146316851665,78.11301715438951,81.49344096871846,79.09182643794148,70.14127144298688,65.40867810292633,49.576185671039354,48.06256306760848,48.56710393541877,62.16952573158426,65.24722502522704,75.49949545913219,80.21190716448032,71.23107971745712,59.00100908173562,54.77295660948537,41.27144298688194,27.194752774974774
4,41.29162462159435,53.12815338042381,58.53683148335015,81.3824419778002,86.26639757820384,86.17558022199798,82.55297679112009,79.15237134207871,63.29969727547931,58.75882946518668,58.1029263370333,66.226034308779,68.9808274470232,77.88092835519677,82.38143289606458,72.6034308779011,60.44399596367306,55.650857719475276,42.03834510595358,28.395560040363268
5,41.675075681130174,53.32996972754793,59.04137235116045,81.52371342078709,86.74066599394551,86.32694248234107,83.55196770938446,79.54591321897074,63.81432896064581,57.27547931382442,57.295660948536835,66.63975782038345,69.72754793138245,79.95963673057517,86.5489404641776,84.07669021190716,78.970736629667,74.62159434914228,63.15842583249243,45.05549949545913
6,41.65489404641776,52.94651866801211,59.313824419778,82.81533804238143,88.0928355196771,89.09182643794148,87.96165489404642,85.03531786074672,72.7547931382442,64.9949545913219,63.59233097880929,70.49445005045409,73.35015136226035,81.96770938446014,87.99192734611503,85.66094853683148,81.06962663975781,77.31584258324925,66.30676084762865,48.435923309788095
7,41.735620585267405,52.875882946518665,59.303733602421794,82.64379414732593,88.23410696266397,89.17255297679112,88.94046417759839,85.882946518668,71.87689202825429,63.541876892028256,61.87689202825429,68.90010090817356,72.31079717457114,81.04944500504541,89.05146316851665,88.60746720484359,86.2159434914228,83.51160443995964,74.18768920282542,55.025227043390515
8,42.250252270433904,53.75378405650858,60.29263370332997,83.16851664984864,89.21291624621594,89.77800201816348,90.6962663975782,89.58627648839555,84.71241170534813,78.46619576185671,76.3673057517659,76.77093844601413,78.56710393541877,84.3087790110999,89.73763874873865,88.76892028254288,86.86175580221997,84.1372351160444,74.85368314833501,55.317860746720484
9,44.47023208879919,56.51866801210898,62.008072653884966,83.4409687184662,89.15237134207871,89.94954591321897,91.13017154389506,89.93945509586277,85.25731584258325,79.45509586276488,77.0534813319879,75.84258324924319,77.56811301715439,82.9263370332997,89.37436932391523,90.36326942482341,89.86881937436932,88.92028254288597,84.51059535822402,68.46619576185671
