Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.866667	0.888889	0.898285	0.899395	
0.866667	0.911111	0.878103	0.878910	
0.933333	0.944444	0.922402	0.923613	
0.844444	0.844444	0.903128	0.903935	
0.922222	0.922222	0.921191	0.920484	
0.888889	0.888889	0.920081	0.920585	
0.888889	0.888889	0.910797	0.910797	
0.966667	0.966667	0.906256	0.907265	
0.855556	0.855556	0.908577	0.909082	
0.866667	0.900000	0.917558	0.918365	
0.966667	0.966667	0.908981	0.909485	
0.855556	0.888889	0.892836	0.894450	
0.511111	0.533333	0.663572	0.671948	
0.877778	0.900000	0.903835	0.903027	
0.900000	0.900000	0.909788	0.910293	
0.877778	0.877778	0.830172	0.833098	
0.911111	0.911111	0.883047	0.885469	
0.855556	0.866667	0.906660	0.906660	
0.811111	0.811111	0.784460	0.789304	
0.900000	0.922222	0.871847	0.873158	
