Support Loss	Context Loss	Support Acc.	Context Acc.	
0.062748	0.048291	92.187500	93.333336	
0.057130	0.045648	91.015625	93.333336	
0.049233	0.067242	92.187500	85.555557	
0.093285	0.055939	90.234375	91.111115	
0.081887	0.067314	88.671875	91.111115	
0.066355	0.071824	89.453125	87.777779	
0.068407	0.069542	91.406250	87.777779	
0.066551	0.051600	92.968750	90.000008	
0.074110	0.055882	89.843750	92.222229	
0.065704	0.070918	88.671875	88.888893	
0.063592	0.052840	89.843750	93.333336	
0.056578	0.067637	90.625000	90.000008	
0.062416	0.042239	91.015625	95.555557	
0.083092	0.083558	89.843750	85.555557	
0.049191	0.097403	94.140625	82.222229	
0.069343	0.081478	91.015625	85.555557	
0.065971	0.046111	92.578125	92.222229	
0.069576	0.083388	92.187500	85.555557	
0.053707	0.046863	91.406250	93.333336	
0.052619	0.050949	94.531250	94.444450	
0.052304	0.044859	91.796875	94.444450	
0.096909	0.046694	88.281250	95.555557	
0.094500	0.072864	89.062500	88.888893	
0.056091	0.086708	91.406250	84.444450	
0.062255	0.064703	92.968750	91.111115	
0.055419	0.055151	93.750000	92.222229	
0.063503	0.046593	91.015625	91.111115	
0.065540	0.056678	89.843750	92.222229	
0.063798	0.060135	93.750000	91.111115	
0.041667	0.069059	94.140625	86.666672	
0.066589	0.056076	90.625000	92.222229	
0.071481	0.050420	89.453125	95.555557	
0.070070	0.064102	89.843750	91.111115	
0.057567	0.059702	92.578125	88.888893	
0.045889	0.072032	92.187500	87.777779	
0.053329	0.040707	92.968750	93.333336	
0.087929	0.066991	90.625000	87.777779	
0.061044	0.083319	90.625000	85.555557	
0.057147	0.063707	92.968750	90.000008	
0.056874	0.069473	92.578125	88.888893	
0.044176	0.051498	91.406250	87.777779	
0.069804	0.039322	89.843750	94.444450	
0.071711	0.056335	88.671875	90.000008	
0.051666	0.049106	92.578125	88.888893	
0.069492	0.052214	90.234375	94.444450	
0.063781	0.052738	92.578125	91.111115	
0.058799	0.074202	91.796875	83.333336	
0.055079	0.060519	93.750000	90.000008	
0.072326	0.073777	91.796875	88.888893	
0.066877	0.055839	92.187500	88.888893	
0.085534	0.046483	88.281250	94.444450	
0.062218	0.052911	91.015625	91.111115	
0.054376	0.050481	91.406250	91.111115	
0.058551	0.062734	92.187500	91.111115	
0.049396	0.054709	89.453125	92.222229	
0.061769	0.065229	94.531250	86.666672	
0.092601	0.049168	88.671875	91.111115	
0.050701	0.066009	91.796875	91.111115	
0.076625	0.054957	90.625000	88.888893	
0.070418	0.074279	89.453125	88.888893	
0.055141	0.061210	92.968750	90.000008	
0.072075	0.064752	91.015625	87.777779	
0.077343	0.069248	87.890625	85.555557	
0.056755	0.073577	91.015625	91.111115	
0.056673	0.051007	94.531250	95.555557	
0.060231	0.053093	91.406250	90.000008	
0.069106	0.046837	88.281250	93.333336	
0.062358	0.046105	91.796875	92.222229	
0.062905	0.059063	91.796875	88.888893	
0.055283	0.050354	90.234375	91.111115	
0.072270	0.059527	90.625000	91.111115	
0.053813	0.065648	91.796875	90.000008	
0.058129	0.045679	92.968750	91.111115	
0.081399	0.050344	87.109375	92.222229	
0.061048	0.073973	92.968750	85.555557	
0.071871	0.057223	89.453125	94.444450	
0.066175	0.082949	90.625000	85.555557	
0.065715	0.045055	91.406250	93.333336	
0.061218	0.052476	91.406250	91.111115	
0.067733	0.061939	94.140625	90.000008	
0.065836	0.063640	91.406250	91.111115	
0.078903	0.059841	91.796875	88.888893	
0.072621	0.069713	90.625000	87.777779	
0.078886	0.075837	91.796875	87.777779	
0.064117	0.069700	92.187500	87.777779	
0.062543	0.042734	90.234375	95.555557	
0.069242	0.053080	89.453125	91.111115	
0.058329	0.043472	92.968750	93.333336	
0.064847	0.051158	93.359375	93.333336	
