task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,72.9263370332997,19.434914228052474,18.15338042381433,73.60242179616549,16.750756811301716,20.736629667003026,14.20787083753784,44.94450050454087,14.08678102926337,32.83551967709384,13.259334006054491,70.02018163471242,61.00908173562058,13.854692230070636,30.070635721493442,70.76690211907164,57.90110998990918,13.340060544904137,20.272452068617557,18.970736629667
1,77.14429868819374,74.32896064581232,17.05348133198789,76.07467204843593,18.183652875882945,19.202825428859736,26.25630676084763,38.7991927346115,58.93037336024218,28.900100908173563,47.85065590312816,71.17053481331988,54.15741675075681,23.007063572149345,26.98284561049445,70.42381432896065,54.35923309788093,37.467204843592334,69.20282542885974,73.32996972754793
2,77.13420787083754,74.86377396569122,72.97679112008073,76.0242179616549,69.62663975782039,69.58627648839555,59.72754793138244,60.141271442986884,64.33905146316852,63.75378405650858,59.848637739656915,73.42078708375378,50.50454086781029,60.70635721493441,63.85469223007063,68.23410696266397,64.70232088799193,58.213925327951564,67.26538849646822,72.68415741675075
3,85.19677093844601,77.61856710393542,78.99091826437942,85.83249243188698,73.91523713420787,74.00605449041372,58.20383451059536,64.4702320887992,63.98587285570131,67.32593340060545,58.80928355196771,81.69525731584258,60.13118062563068,59.656912209889,68.06256306760848,78.64783047426842,71.19071644803229,56.236125126135214,69.04137235116045,74.37941473259335
4,87.15438950554994,81.83652875882946,87.01311806256307,87.57820383451059,86.08476286579213,83.65287588294652,71.46316851664984,67.38647830474268,70.25227043390515,72.55297679112009,65.89303733602422,83.59233097880929,63.562058526740664,74.04641775983855,74.17759838546922,80.95862764883955,73.31987891019172,66.64984863773965,73.04742684157416,78.56710393541877
5,88.39556004036326,84.08678102926336,90.16145307769929,88.55701311806256,89.08173562058526,88.83955600403633,74.18768920282542,74.68213925327952,72.23007063572149,80.82744702320888,67.64883955600403,85.46922300706358,65.66094853683148,76.9021190716448,81.24117053481332,82.51261352169526,78.20383451059536,68.52674066599394,75.63067608476287,80.8678102926337
6,88.34510595358223,84.98486377396569,90.79717457114026,88.50655903128154,91.27144298688194,89.39455095862765,86.96266397578204,76.52875882946519,80.96871846619577,81.06962663975781,79.86881937436932,85.77194752774975,66.41775983854693,87.33602421796165,82.14934409687184,82.65388496468213,79.08173562058526,83.00706357214935,76.10494450050454,82.9465186680121
7,89.41473259334006,84.71241170534813,92.01816347124117,90.0100908173562,91.66498486377397,91.12008072653884,87.7396569122099,87.53784056508577,81.09989909182644,88.32492431886983,80.94853683148335,88.9606458123108,68.46619576185671,87.54793138244197,88.55701311806256,83.48133198789102,87.32593340060545,83.2896064581231,75.84258324924319,82.38143289606458
8,89.15237134207871,87.2452068617558,91.7255297679112,89.77800201816348,91.45307769929364,90.98890010090817,89.78809283551968,88.29465186680122,88.55701311806256,88.60746720484359,87.7598385469223,88.80928355196771,66.62966700302725,89.07164480322906,88.70837537840565,82.57315842583249,87.37638748738648,88.12310797174571,79.24318869828456,86.7204843592331
9,89.35418768920283,86.68012108980828,92.38143289606458,89.96972754793138,91.7255297679112,92.12916246215943,89.97981836528758,90.48435923309788,88.60746720484359,91.13017154389506,87.7396569122099,89.19273461150352,67.03329969727548,89.18264379414732,91.09989909182644,83.53178607467206,89.08173562058526,88.40565085771948,78.42583249243188,85.97376387487387
10,89.37436932391523,87.89101917255297,92.28052472250252,89.9899091826438,91.64480322906155,92.10898082744703,91.05953582240161,90.62563067608477,90.45408678102926,91.33198789101917,90.49445005045409,89.21291624621594,65.79212916246216,90.10090817356206,91.029263370333,83.51160443995964,88.76892028254288,90.47426841574168,79.96972754793138,87.53784056508577
11,90.02018163471242,88.31483350151362,92.36125126135217,90.61553985872855,91.85671039354187,92.20988900100909,91.48335015136226,90.84762865792129,91.08980827447023,91.36226034308778,91.14026236125126,90.63572149344097,66.32694248234107,90.61553985872855,90.64581231079717,84.05650857719475,89.6670030272452,90.73662966700303,80.24217961654894,87.83047426841574
12,92.01816347124117,86.87184661957619,91.96770938446014,92.46215943491423,91.73562058526741,92.13925327951564,91.10998990918264,90.92835519677094,91.029263370333,91.35216952573158,91.08980827447023,91.75580221997981,83.19878910191726,90.19172552976791,90.91826437941474,89.58627648839555,90.05045408678103,91.00908173562058,76.65993945509587,86.70030272452068
13,91.86680121089809,87.3965691220989,92.45206861755803,91.86680121089809,92.09889001009081,92.2603430877901,92.058526740666,91.28153380423814,91.29162462159435,91.51362260343087,91.52371342078709,91.61453077699294,82.46215943491423,91.67507568113017,90.97880928355197,88.72855701311806,90.21190716448032,91.372351160444,78.05247225025226,87.33602421796165
