task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,75.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,92.7,92.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,92.95,93.38,92.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,93.22,92.51,92.63,93.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,93.22,93.16,92.65,92.93,93.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,93.45,92.46,93.13,92.9,92.58,93.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,93.11,92.08,93.46,92.66,93.23,93.41,93.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,93.4,92.43,93.48,92.57,94.18,94.23,93.36,93.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,93.03,92.87,93.0,93.21,93.77,93.88,91.91,93.49,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,92.89,92.29,93.74,92.59,93.6,93.86,92.27,93.34,92.62,93.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,92.38,93.32,92.81,92.87,93.6,94.08,92.82,93.66,93.43,93.38,92.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,92.87,92.69,92.96,92.88,93.8,93.69,93.56,93.61,93.78,93.68,92.83,93.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,93.28,92.83,93.3,93.53,92.94,93.54,93.28,92.92,92.95,92.95,92.85,93.35,91.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,93.05,92.35,93.13,92.67,93.39,92.72,92.74,92.97,93.21,92.07,92.26,92.89,92.46,93.1,0.0,0.0,0.0,0.0,0.0,0.0
14,92.84,91.86,93.29,92.64,93.33,93.37,92.77,93.13,93.05,92.25,92.98,92.48,92.04,92.81,93.68,0.0,0.0,0.0,0.0,0.0
15,93.01,91.06,93.61,92.42,93.4,91.63,91.94,93.19,92.33,93.48,92.46,92.25,91.79,93.19,93.19,92.45,0.0,0.0,0.0,0.0
16,92.18,92.06,92.74,93.4,92.9,92.89,92.64,93.84,92.13,92.81,92.76,92.83,91.86,91.58,92.9,92.12,92.98,0.0,0.0,0.0
17,92.95,90.13,92.78,92.56,93.18,92.94,92.47,93.19,92.15,92.89,92.02,93.0,91.34,91.82,91.98,92.36,93.45,92.53,0.0,0.0
18,93.56,91.2,92.4,92.97,92.17,92.74,91.42,93.22,91.77,92.97,92.07,93.5,90.54,92.09,92.73,91.96,92.53,92.9,91.19,0.0
19,92.42,92.45,91.67,92.33,92.63,92.79,92.11,92.85,92.15,92.68,92.18,93.19,91.56,92.18,91.79,92.6,92.89,92.09,90.37,92.26
