task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,12.04,9.52,10.01,11.28,9.92,9.84,9.69,9.86,9.93,9.94,9.78,10.76,11.68,9.95,9.92,11.52,10.05,10.29,9.2,9.59
1,36.27,20.66,17.27,33.5,18.32,17.83,19.55,22.32,21.4,19.67,21.91,31.64,30.94,18.93,19.08,36.02,26.07,22.23,20.61,21.51
2,48.47,43.72,30.17,45.32,33.17,29.56,32.65,35.03,40.24,31.16,37.43,45.45,41.15,32.61,30.71,47.76,39.78,33.51,40.92,43.27
3,56.88,46.34,43.75,56.12,43.47,44.25,40.42,45.13,43.94,44.21,42.96,56.13,45.36,41.1,45.14,55.26,49.68,41.25,42.41,46.81
4,61.24,50.74,58.53,61.4,57.63,58.87,52.81,56.13,50.93,56.36,50.55,61.41,48.38,53.67,57.0,58.1,58.26,51.18,44.79,50.88
5,63.73,51.3,66.65,63.84,65.26,67.01,57.8,62.29,52.16,63.98,52.6,64.35,48.89,59.67,63.96,59.21,62.99,54.31,45.92,51.79
6,64.17,54.1,72.24,64.61,72.02,71.58,66.27,63.98,57.01,66.37,58.89,64.87,46.92,67.61,67.2,58.42,63.92,62.03,47.31,54.37
7,64.61,53.66,75.63,65.85,74.75,74.85,68.6,68.59,57.67,70.75,59.98,67.33,45.64,70.2,71.05,57.66,67.39,63.92,46.41,54.01
8,64.4,57.19,76.88,66.04,76.31,76.06,71.89,69.86,63.08,71.3,65.57,67.77,43.45,72.81,71.77,56.65,68.0,68.2,49.1,58.11
9,65.56,58.49,78.78,66.86,77.85,78.04,73.25,72.72,64.49,74.74,66.94,69.09,43.95,74.19,74.82,56.65,70.4,69.81,49.47,59.25
10,65.14,61.56,79.85,67.0,79.02,79.18,76.27,74.09,68.97,76.22,71.39,69.25,42.71,77.01,76.13,56.22,70.98,73.87,51.63,62.55
11,68.57,63.28,80.68,70.43,79.94,80.27,77.49,76.85,71.56,77.98,73.65,73.3,44.6,77.8,77.5,58.87,74.31,75.53,52.79,64.35
12,73.97,62.75,80.88,75.02,79.99,80.24,77.72,77.72,71.85,78.89,73.93,76.54,52.8,78.14,78.34,65.93,76.14,75.71,51.39,63.42
13,75.63,63.88,81.87,76.95,81.44,81.11,80.19,78.47,74.2,79.79,76.55,77.91,55.75,80.59,79.18,68.75,77.05,78.31,51.61,65.04
14,77.92,66.6,83.89,78.67,83.18,83.02,81.67,80.59,76.78,81.98,78.64,79.86,59.14,82.02,81.4,71.11,78.92,79.97,54.3,67.19
15,80.71,67.37,84.35,81.08,83.86,83.73,82.47,81.86,77.89,83.09,79.98,81.63,64.29,82.67,82.8,75.72,80.32,81.0,54.29,67.84
16,82.3,68.91,85.01,82.39,84.25,83.96,82.88,83.21,78.73,83.74,80.47,83.25,65.92,83.19,83.48,77.46,82.11,81.49,56.28,69.5
17,82.93,70.29,85.39,83.23,84.89,84.76,83.96,84.1,79.99,84.76,81.91,83.9,67.4,84.09,84.51,78.88,83.15,82.97,58.0,70.54
18,83.68,74.55,85.69,84.36,85.02,84.9,84.76,84.75,82.06,85.29,83.04,84.89,67.53,84.39,85.06,79.38,83.88,83.93,65.51,75.02
19,83.58,78.54,86.06,84.26,85.68,85.61,85.48,85.37,84.13,85.67,84.76,84.91,67.03,85.38,85.54,78.94,84.14,85.03,71.0,79.27
