task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,93.02,93.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,92.67,93.77,92.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,93.5,93.29,93.85,93.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,94.15,94.14,93.95,93.73,92.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,94.09,94.46,93.79,94.39,93.43,93.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,93.96,94.47,94.3,94.58,94.59,93.68,93.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,94.07,94.25,94.46,94.28,94.78,94.43,93.2,93.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,93.81,94.17,94.22,94.67,94.26,94.34,93.15,93.87,92.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,94.1,94.18,94.15,94.71,94.36,94.18,93.7,93.92,93.04,92.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,93.36,93.81,93.33,94.75,94.28,94.61,94.07,94.0,93.68,92.11,92.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,93.66,93.81,94.06,94.05,94.34,94.51,94.16,93.47,93.74,93.28,93.05,91.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,93.06,93.65,93.61,94.25,94.41,93.51,93.91,92.96,94.14,93.47,93.45,92.53,91.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,92.45,93.51,93.23,93.85,93.81,92.81,92.71,93.4,93.65,92.88,93.35,91.83,93.12,92.42,0.0,0.0,0.0,0.0,0.0,0.0
14,92.33,92.79,93.13,94.03,93.68,93.8,93.46,93.62,93.29,92.26,93.56,93.12,92.97,92.23,91.53,0.0,0.0,0.0,0.0,0.0
15,92.23,92.6,93.34,93.22,93.83,92.24,91.66,93.22,92.89,93.38,93.74,92.6,92.13,92.86,92.5,91.6,0.0,0.0,0.0,0.0
16,92.76,92.5,93.0,94.0,92.89,92.64,93.31,93.08,92.83,93.3,93.59,93.2,93.25,92.95,92.48,91.55,91.28,0.0,0.0,0.0
17,91.75,91.86,92.5,92.34,93.08,93.03,92.51,92.93,92.3,92.71,92.86,92.52,92.96,92.64,92.35,92.84,91.4,91.76,0.0,0.0
18,92.12,92.09,91.94,93.05,92.12,92.52,92.61,92.94,92.25,92.71,92.66,92.96,92.92,92.55,92.7,92.21,91.68,92.12,91.34,0.0
19,91.86,91.86,92.03,92.33,92.11,92.06,92.21,92.17,92.2,92.57,92.89,92.34,92.35,92.92,92.99,93.23,92.87,92.0,91.52,90.59
