task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,41.93743693239152,50.57517658930373,52.99697275479314,62.82542885973764,65.20686175580222,63.32996972754793,58.80928355196771,53.64278506559031,39.334006054490416,29.233097880928355,26.56912209889001,16.841574167507567,15.74167507568113,12.401614530776992,11.977800201816347,11.382441977800202,12.563067608476286,13.662966700302725,13.925327951564077,17.719475277497477
1,41.029263370333,49.909182643794146,54.3087790110999,66.226034308779,67.98183652875883,67.57820383451059,63.15842583249243,58.839556004036325,47.19475277497477,45.5196770938446,45.600403632694245,53.13824419778002,54.81331987891019,60.87790110998991,64.57114026236125,60.494450050454084,52.694248234106965,50.96871846619576,43.65287588294652,33.98587285570131
2,43.90514631685166,55.92330978809284,61.14026236125126,78.35519677093845,80.81735620585268,79.21291624621594,71.99798183652877,67.46720484359233,51.715438950555,47.54793138244198,48.56710393541877,57.023208879919274,59.36427850655903,66.70030272452068,69.85872855701312,60.92835519677094,50.57517658930373,47.31584258324924,35.90312815338042,26.437941473259333
3,42.09889001009082,54.14732593340061,59.60645812310797,78.82946518668012,82.00807265388497,79.34409687184662,70.83753784056509,65.5297679112008,48.496468213925326,46.35721493440969,48.18365287588295,61.8869828456105,65.05549949545913,75.56004036326942,80.31281533804238,70.25227043390515,57.44702320887992,52.522704339051465,39.38446014127144,26.95257315842583
4,41.52371342078708,53.07769929364279,58.435923309788095,80.56508577194752,85.56004036326942,85.8627648839556,82.69424823410696,79.00100908173562,63.16851664984864,58.092835519677095,57.013118062563066,65.1765893037336,69.09182643794148,77.9313824419778,82.65388496468213,71.95761856710394,58.90010090817356,53.91523713420787,39.63673057517659,26.74066599394551
5,40.73662966700303,52.74470232088799,58.90010090817356,81.28153380423814,86.77093844601413,86.61957618567104,84.45005045408678,80.6962663975782,64.39959636730575,57.0635721493441,56.17558022199798,65.20686175580222,68.82946518668012,79.21291624621594,86.40766902119071,83.57214934409687,78.1029263370333,74.04641775983855,62.08879919273461,44.54086781029263
6,39.8284561049445,53.28960645812311,59.39455095862765,82.16952573158426,88.06256306760848,88.92028254288597,88.2744702320888,85.37840565085772,71.40262361251261,63.64278506559031,60.5146316851665,66.88193743693239,69.90918264379415,79.76791120080726,86.83148335015136,84.9949545913219,80.96871846619577,77.45711402623613,66.52875882946519,48.29465186680121
7,42.532795156407666,55.771947527749745,61.342078708375375,83.32996972754793,89.1321897073663,89.75782038345106,89.42482341069626,87.10393541876893,74.10696266397578,65.59031281533804,62.29061553985873,68.970736629667,72.37134207870838,81.66498486377397,88.85973763874874,88.7790110998991,86.59939455095862,83.88496468213926,75.07568113017155,56.76084762865792
8,43.43087790110999,55.06559031281534,60.82744702320888,82.51261352169526,89.06155398587286,90.25227043390515,91.0393541876892,90.0,84.75277497477296,79.27346115035319,75.22704339051464,75.91321897073664,77.53784056508577,83.84460141271443,89.56609485368315,89.25327951564077,87.68920282542886,85.18668012108981,77.01311806256307,59.58627648839556
9,44.3087790110999,56.19576185671039,61.36226034308779,82.20988900100909,88.83955600403633,89.83854692230071,90.343087790111,89.63673057517659,84.86377396569122,79.40464177598385,74.91422805247225,75.89303733602422,77.26538849646822,82.84561049445006,89.44500504540868,90.74672048435923,89.96972754793138,88.70837537840565,84.4803229061554,70.31281533804238
