task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,40.55,49.44,51.47,62.93,65.22,63.83,58.61,53.91,37.56,27.76,25.55,15.89,14.67,12.02,11.29,10.81,12.11,12.74,13.19,16.82
1,40.43,49.82,53.6,65.81,68.4,67.4,62.61,58.43,46.98,44.58,45.03,52.69,54.73,61.25,64.1,59.8,52.57,50.59,43.04,33.19
2,43.38,55.3,60.75,78.12,80.55,79.13,71.54,67.01,50.99,46.77,47.93,56.48,58.74,66.19,69.33,60.51,50.11,46.54,35.23,26.39
3,41.66,53.67,59.33,78.61,81.94,79.43,70.6,65.19,47.79,45.64,47.39,61.34,64.98,75.09,79.94,69.94,56.68,52.3,38.75,26.35
4,41.09,52.6,58.28,80.42,85.48,85.87,82.4,78.89,62.42,58.03,56.62,64.74,68.58,77.7,82.29,71.49,58.17,53.26,39.12,26.36
5,40.07,52.35,58.32,80.94,86.5,86.64,84.13,80.43,63.82,56.29,55.62,64.52,68.13,78.76,86.12,83.15,77.59,73.66,60.95,43.64
6,39.01,52.43,58.58,81.77,87.89,88.82,88.11,85.18,70.74,62.72,59.74,66.14,69.09,79.41,86.83,84.78,80.47,76.83,65.84,47.58
7,41.84,55.13,60.7,83.17,88.95,89.69,89.31,86.81,73.81,65.2,61.88,68.6,72.0,81.55,88.72,88.54,86.57,83.63,74.26,55.79
8,42.53,54.18,59.84,82.02,88.72,90.07,90.96,89.83,84.64,78.9,74.43,75.39,76.93,83.47,89.47,89.2,87.51,84.96,76.68,59.09
9,43.3,55.31,60.96,81.77,88.46,89.42,90.13,89.14,84.42,79.01,74.44,75.17,76.65,82.59,89.2,90.5,90.17,88.75,84.19,69.64
10,43.73,55.55,61.31,82.66,89.4,90.47,91.65,90.93,88.33,83.44,80.41,78.37,79.84,83.76,89.57,90.67,90.37,89.09,85.39,71.52
11,42.24,53.52,59.09,81.05,88.57,89.89,91.04,90.12,88.46,84.46,81.4,79.62,80.04,84.17,89.93,91.01,91.31,90.66,88.17,76.26
12,76.06,77.68,80.37,87.5,90.62,90.81,91.66,90.85,88.94,85.13,82.15,80.64,81.72,85.36,90.87,91.35,91.37,90.22,87.83,74.54
13,77.85,79.53,81.63,87.71,90.83,90.9,91.87,90.64,90.36,87.24,86.77,84.24,84.86,86.76,90.47,90.76,91.08,89.94,88.17,74.31
14,83.19,82.98,83.94,87.74,90.72,90.7,91.72,90.87,91.14,88.51,87.21,85.18,85.4,86.54,90.15,90.13,90.47,88.97,87.21,72.57
15,85.16,84.23,84.88,87.7,90.03,90.01,91.23,90.39,90.54,88.31,88.32,85.3,85.27,86.41,90.53,91.02,91.22,90.13,87.78,72.88
16,86.83,86.68,88.05,88.97,91.16,90.86,91.56,90.66,90.94,88.86,88.58,86.08,86.23,87.66,90.91,90.91,91.35,89.92,88.2,72.25
17,87.15,86.8,88.73,89.64,91.28,90.4,91.26,90.29,90.78,88.9,89.65,87.72,88.44,88.34,90.9,90.65,91.36,90.3,88.6,74.35
18,88.15,88.16,89.9,90.31,91.17,90.23,91.1,90.22,90.53,89.09,89.75,88.47,89.09,88.86,90.87,90.65,90.69,89.11,87.19,71.07
19,88.51,88.65,90.03,89.64,90.57,89.63,90.77,90.08,90.17,89.06,90.34,89.57,89.98,89.44,91.22,90.47,90.77,89.35,87.23,71.08
