task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,71.61453077699294,15.62058526740666,19.838546922300708,71.43289606458123,18.708375378405652,22.55297679112008,17.30575176589304,42.643794147325934,14.692230070635722,32.694248234106965,16.175580221997983,67.96165489404642,62.66397578203834,17.164480322906154,31.453077699293644,71.87689202825429,53.77396569122099,16.690211907164482,16.195761856710394,16.044399596367306
1,75.72149344096871,74.35923309788093,17.95156407669021,74.95459132189707,18.51664984863774,20.0,28.12310797174571,40.55499495459132,60.645812310797176,30.353178607467203,50.373360242179615,70.22199798183652,53.64278506559031,25.08577194752775,28.17356205852674,70.02018163471242,55.600403632694245,39.969727547931384,69.21291624621594,73.2896064581231
2,76.30676084762865,75.16649848637739,72.89606458123107,75.93340060544904,69.81836528758829,70.60544904137235,60.22199798183653,62.74470232088799,66.26639757820384,65.03531786074672,62.129162462159435,74.01614530776993,51.5438950554995,61.715438950555,65.28758829465187,68.07265388496468,66.3773965691221,59.41473259334006,67.01311806256307,73.24924318869829
3,86.17558022199798,79.92936427850655,78.74873864783048,86.16548940464178,74.43995963673058,74.14732593340061,59.49545913218971,66.56912209889,67.04339051463168,68.6175580221998,61.32189707366297,82.84561049445006,60.80726538849647,62.018163471241174,69.34409687184662,79.41473259334006,72.79515640766903,57.84056508577195,71.09989909182644,76.84157416750757
4,87.88092835519677,82.9364278506559,87.01311806256307,87.99192734611503,86.33703329969728,82.96670030272452,73.0978809283552,69.33400605449042,72.89606458123107,73.66296670030272,69.22300706357215,84.74268415741675,63.047426841574165,76.09485368314833,74.69223007063572,81.51362260343087,75.71140262361251,69.40464177598385,74.74268415741675,80.30272452068617
5,88.9808274470232,84.21796165489404,90.23208879919274,88.99091826437942,89.39455095862765,89.36427850655903,74.80322906155399,76.5489404641776,74.38950554994955,81.24117053481332,70.30272452068617,86.16548940464178,65.38849646821393,78.23410696266397,82.55297679112009,83.087790110999,78.69828456104945,70.57517658930374,76.82139253279516,81.76589303733603
6,88.7790110998991,85.5196770938446,91.2209889001009,88.87991927346116,91.46316851664984,89.91927346115035,87.35620585267407,77.46720484359233,81.28153380423814,82.2502522704339,81.20080726538849,85.65085771947528,65.22704339051464,87.79011099899091,83.07769929364278,82.4117053481332,78.86982845610494,83.67305751765893,77.08375378405651,83.19878910191726
7,89.29364278506559,84.79313824419778,91.93743693239152,89.77800201816348,91.3824419778002,91.48335015136226,88.02219979818365,88.38546922300706,81.75580221997981,89.06155398587286,81.97780020181635,88.81937436932391,65.59031281533804,88.25428859737639,89.08173562058526,82.51261352169526,87.17457114026236,84.16750756811302,77.09384460141271,82.91624621594349
8,89.4752774974773,87.255297679112,92.07870837537841,89.82845610494451,91.8970736629667,91.54389505549949,90.19172552976791,88.65792129162462,88.56710393541877,89.04137235116045,87.9313824419778,88.65792129162462,64.4803229061554,89.60645812310797,89.41473259334006,82.36125126135217,87.31584258324925,88.71846619576186,78.71846619576186,86.56912209889
9,89.6670030272452,86.8920282542886,92.29061553985873,90.23208879919274,91.51362260343087,92.13925327951564,90.27245206861755,90.84762865792129,88.95055499495459,91.69525731584258,88.50655903128154,89.74772956609485,65.98385469223007,89.45509586276488,91.28153380423814,83.07769929364278,89.17255297679112,88.82946518668012,78.15338042381433,86.34712411705348
10,89.93945509586277,87.90110998990919,92.058526740666,90.51463168516649,91.82643794147326,91.9071644803229,91.14026236125126,90.71644803229061,90.40363269424823,91.40262361251261,90.78708375378406,89.80827447023209,66.0443995963673,90.39354187689203,91.00908173562058,83.39051463168516,88.85973763874874,90.45408678102926,79.36427850655903,87.53784056508577
11,90.95862764883955,87.598385469223,92.02825428859738,91.39253279515641,91.30171543895055,92.07870837537841,90.88799192734612,91.43289606458123,90.85771947527749,91.94752774974774,91.15035317860746,91.35216952573158,67.33602421796165,90.05045408678103,91.59434914228052,84.68213925327952,90.47426841574168,90.74672048435923,78.7790110998991,87.0736629667003
