task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,67.71,23.26,19.83,67.41,16.83,21.69,14.63,43.75,18.33,34.45,15.7,64.32,59.94,15.0,31.2,66.75,54.91,15.21,24.2,23.17
1,75.98,72.48,15.85,75.51,16.28,17.62,22.63,37.24,56.06,27.44,45.03,71.05,53.28,20.19,25.53,70.1,52.89,33.86,68.21,71.45
2,76.76,74.63,72.68,75.72,68.97,69.17,57.95,58.95,65.25,62.32,60.55,73.03,49.63,58.85,63.14,67.46,62.98,57.36,67.14,73.29
3,85.81,78.14,78.7,85.81,73.43,73.91,57.54,64.06,64.24,67.3,58.85,81.66,59.21,58.99,67.57,78.69,70.43,55.94,68.84,74.65
4,88.34,82.09,86.84,88.08,85.96,83.05,70.34,67.79,70.61,71.92,66.4,84.32,62.48,73.27,73.13,81.58,73.64,65.74,73.51,79.57
5,89.18,84.01,89.81,89.33,88.89,88.45,72.25,74.99,72.04,80.29,67.61,86.21,64.55,75.79,81.46,82.6,78.69,67.52,75.53,81.28
6,89.53,85.2,90.47,89.72,90.94,89.29,86.3,75.38,80.2,80.71,79.85,86.03,65.11,86.75,81.22,82.28,78.23,81.88,76.14,83.02
7,90.13,86.0,91.55,90.46,91.3,90.82,87.63,87.92,81.73,88.13,81.11,89.21,66.27,87.45,88.25,83.21,87.54,83.45,78.16,83.99
8,90.13,87.95,91.67,90.47,91.24,91.14,89.54,88.52,88.31,88.69,87.55,88.95,65.8,88.93,88.55,82.85,87.43,88.0,79.95,87.13
9,90.12,88.39,92.32,90.75,91.6,91.94,90.03,90.53,89.42,91.13,88.49,89.16,66.43,89.33,90.44,83.44,89.12,88.66,80.64,87.66
10,89.87,88.65,92.13,90.41,91.58,92.14,90.97,90.95,90.64,91.51,90.79,89.71,65.21,89.82,91.01,82.68,89.79,90.49,80.51,88.05
11,91.15,87.97,91.94,91.58,91.64,91.66,91.22,91.76,90.81,91.89,90.85,91.61,66.21,89.99,90.92,84.1,91.06,90.47,79.38,87.49
12,92.46,87.47,92.19,92.45,91.55,91.57,90.83,91.61,91.04,91.58,90.86,91.76,83.39,89.65,91.0,90.01,90.64,90.49,77.45,87.11
13,92.66,87.75,92.24,92.47,92.43,91.82,92.54,90.86,91.52,91.1,91.94,92.06,83.9,91.95,90.49,89.7,90.19,91.72,78.37,87.45
14,92.13,87.69,92.54,92.11,92.27,92.44,91.92,91.59,91.26,92.05,91.52,92.04,84.55,91.73,91.84,89.85,90.62,91.17,78.18,87.42
15,93.32,86.58,92.39,92.97,91.92,91.86,91.92,91.52,90.93,92.3,91.24,92.42,86.8,91.54,91.91,91.87,90.92,91.04,76.22,86.41
16,93.09,86.64,92.28,92.95,91.99,92.1,91.55,92.14,90.89,92.45,91.05,92.84,86.69,91.48,92.54,91.51,92.11,90.8,77.05,86.93
17,93.0,85.94,92.45,92.63,92.12,92.2,92.52,92.09,91.22,92.32,91.89,92.79,85.91,92.27,92.0,91.57,92.12,92.04,76.91,86.26
18,93.06,90.02,91.85,93.02,91.48,92.03,91.71,92.52,91.84,92.59,91.68,92.59,85.22,91.48,92.3,90.99,92.34,91.63,87.08,90.24
19,92.76,90.99,91.25,92.63,91.21,91.73,91.88,92.3,92.52,92.28,92.28,92.27,84.63,91.62,92.05,91.08,92.13,92.13,88.22,91.11
