task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,34.26841574167508,44.339051463168516,49.22300706357215,63.84460141271443,69.15237134207871,65.92330978809284,58.657921291624625,55.20686175580222,35.83249243188698,25.79212916246216,22.956609485368315,16.32694248234107,14.631685166498487,13.198789101917255,14.651866801210899,15.398587285570132,16.05449041372351,15.822401614530778,17.10393541876892,20.908173562058526
1,43.097880928355195,52.80524722502523,56.952573158425835,69.23309788092836,71.95761856710394,69.76791120080726,62.88597376387487,59.73763874873865,46.64984863773966,45.46922300706357,47.356205852674066,56.29667003027245,57.0635721493441,63.58224016145308,66.82139253279516,62.472250252270435,55.04540867810292,52.754793138244196,44.55095862764884,33.92532795156408
2,44.07669021190716,55.80221997981837,61.5438950554995,78.45610494450051,81.05953582240161,79.6670030272452,72.57315842583249,68.69828456104945,53.40060544904137,49.798183652875885,51.30171543895055,58.72855701311806,60.07063572149344,66.7204843592331,69.80827447023209,61.8970736629667,51.86680121089808,47.96165489404642,38.13319878910192,26.61957618567104
3,41.74571140262361,53.81432896064581,59.909182643794146,79.07164480322906,82.52270433905146,80.05045408678103,71.75580221997981,66.94248234106962,49.95963673057518,47.63874873864783,49.011099899091825,62.08879919273461,65.21695257315842,74.87386478304742,80.53481331987891,70.57517658930374,59.37436932391524,54.4803229061554,41.392532795156406,28.042381432896065
4,41.7255297679112,54.399596367305755,60.70635721493441,81.93743693239152,85.8627648839556,85.94349142280525,82.36125126135217,78.58728557013119,61.97780020181635,56.51866801210898,57.21493440968718,65.13622603430878,68.00201816347123,77.09384460141271,82.34106962663975,71.2209889001009,58.69828456104945,53.440968718466195,39.27346115035318,26.337033299697275
5,41.442986881937436,53.86478304742684,59.34409687184662,81.43289606458123,86.7305751765893,86.67003027245207,83.99596367305752,80.71644803229061,64.28859737638749,58.07265388496468,57.86074672048436,66.5489404641776,69.76791120080726,79.28355196770939,86.01412714429868,82.89606458123107,77.22502522704339,73.37033299697275,62.11907164480323,45.21695257315842
6,41.26135216952573,54.228052472250255,59.919273461150354,83.0978809283552,88.46619576185671,88.9606458123108,88.05247225025226,85.1765893037336,70.90817356205852,63.80423814328961,61.97780020181635,68.95055499495459,72.10898082744703,80.73662966700303,87.255297679112,84.57114026236125,80.39354187689203,76.29667003027245,65.45913218970736,46.65993945509586
7,42.85570131180626,55.04540867810292,60.10090817356206,82.80524722502523,88.970736629667,89.49545913218971,89.18264379414732,87.11402623612513,74.90413723511604,65.882946518668,64.42986881937436,69.9899091826438,73.36024217961655,81.62462159434914,88.31483350151362,87.67911200807265,85.5196770938446,82.39152371342078,73.37033299697275,53.148335015136226
8,43.9656912209889,55.711402623612514,61.210898082744706,83.43087790111,89.39455095862765,90.11099899091826,90.32290615539858,89.21291624621594,84.17759838546922,78.54692230070636,77.04339051463168,76.28657921291625,79.09182643794148,83.9656912209889,89.08173562058526,88.970736629667,87.19475277497477,84.64177598385469,76.0343087790111,57.22502522704339
9,45.21695257315842,55.6912209889001,61.00908173562058,83.19878910191726,89.71745711402623,90.63572149344097,91.0393541876892,89.93945509586277,85.97376387487387,80.8678102926337,78.21392532795156,76.74066599394551,78.51664984863774,83.0978809283552,89.23309788092836,89.94954591321897,90.11099899091826,88.87991927346116,85.26740665993945,71.07971745711403
