Support Loss	Context Loss	Support Acc.	Context Acc.	
0.114471	0.107517	83.984375	82.222229	
0.103533	0.096593	83.984375	87.777779	
0.107244	0.116869	85.546875	72.222229	
0.107006	0.089606	83.203125	86.666672	
0.116720	0.105102	82.812500	83.333336	
0.119354	0.095909	83.984375	77.777779	
0.105484	0.098968	84.765625	86.666672	
0.099268	0.092799	86.328125	85.555557	
0.099309	0.116958	83.593750	82.222229	
0.119491	0.099457	79.296875	85.555557	
0.096945	0.106294	84.375000	78.888893	
0.107796	0.103358	82.421875	82.222229	
0.093549	0.089614	85.546875	85.555557	
0.102174	0.088100	84.375000	83.333336	
0.094622	0.099420	81.640625	84.444450	
0.110037	0.100293	81.640625	84.444450	
0.100213	0.109705	85.546875	78.888893	
0.096738	0.106292	83.203125	81.111115	
0.095186	0.091387	84.375000	85.555557	
0.116105	0.123671	84.765625	77.777779	
0.128217	0.130868	80.468750	74.444450	
0.108225	0.122490	85.937500	81.111115	
0.086580	0.103635	84.765625	81.111115	
0.101228	0.076669	84.375000	86.666672	
0.096622	0.097131	85.546875	81.111115	
0.084021	0.109366	83.593750	76.666672	
0.079430	0.079436	86.718750	90.000008	
0.089064	0.073949	85.937500	90.000008	
0.089712	0.095412	84.375000	83.333336	
0.071300	0.101403	88.281250	83.333336	
0.095789	0.099480	87.500000	83.333336	
0.096792	0.114502	85.546875	80.000000	
0.094649	0.086322	81.640625	85.555557	
0.101688	0.105540	84.765625	81.111115	
0.082746	0.103647	87.890625	81.111115	
0.091646	0.070365	83.984375	91.111115	
0.092875	0.073007	83.203125	87.777779	
0.097567	0.103694	87.109375	77.777779	
0.098957	0.090727	82.812500	86.666672	
0.077798	0.106309	85.546875	81.111115	
0.089905	0.085199	89.062500	83.333336	
0.079193	0.086849	85.546875	84.444450	
0.102968	0.094225	83.593750	84.444450	
0.119894	0.075827	81.640625	91.111115	
0.094194	0.092897	83.984375	85.555557	
0.105289	0.070787	83.203125	90.000008	
0.075309	0.090131	89.062500	86.666672	
0.094692	0.086270	83.593750	88.888893	
0.119279	0.086915	81.250000	83.333336	
0.128384	0.108019	80.859375	83.333336	
0.096977	0.129858	87.500000	73.333336	
0.096185	0.094284	87.109375	86.666672	
0.092855	0.089322	84.375000	83.333336	
0.102468	0.084095	83.593750	87.777779	
0.120554	0.099357	82.812500	77.777779	
0.086344	0.087058	87.500000	85.555557	
0.090764	0.094122	87.109375	82.222229	
0.082741	0.110993	89.843750	77.777779	
0.085488	0.111108	90.625000	83.333336	
0.107944	0.085334	83.593750	85.555557	
0.096920	0.088794	83.593750	86.666672	
0.078969	0.090289	88.671875	82.222229	
0.092594	0.078337	87.109375	82.222229	
0.098284	0.096862	85.937500	81.111115	
0.093283	0.100315	86.328125	82.222229	
0.105845	0.093899	87.500000	83.333336	
0.098038	0.088051	84.375000	83.333336	
0.079668	0.111240	87.890625	82.222229	
0.093056	0.083954	85.156250	87.777779	
0.122007	0.085013	80.859375	83.333336	
0.101117	0.100562	86.328125	78.888893	
0.107083	0.101277	85.937500	83.333336	
0.117278	0.085504	82.031250	84.444450	
0.082897	0.077190	89.062500	87.777779	
0.088977	0.083724	85.937500	86.666672	
0.066143	0.097678	88.281250	82.222229	
0.082368	0.064964	87.109375	90.000008	
0.094560	0.107587	85.546875	84.444450	
0.108110	0.099879	86.328125	78.888893	
0.100743	0.117195	86.328125	76.666672	
0.111332	0.087952	83.593750	86.666672	
0.081469	0.101569	83.984375	83.333336	
0.072460	0.090562	88.671875	86.666672	
0.077523	0.073590	87.109375	91.111115	
0.087497	0.081800	86.328125	87.777779	
0.099112	0.093449	87.109375	85.555557	
0.076719	0.073636	88.281250	87.777779	
0.081222	0.081120	87.109375	88.888893	
0.103776	0.057321	83.593750	93.333336	
0.082102	0.106223	87.109375	76.666672	
0.089263	0.088752	87.109375	84.444450	
0.079961	0.086356	87.890625	87.777779	
0.070014	0.085542	89.453125	86.666672	
0.089244	0.073691	89.062500	91.111115	
0.107597	0.075116	83.203125	86.666672	
0.090170	0.110668	89.062500	78.888893	
0.092265	0.085554	85.937500	85.555557	
0.078858	0.069579	86.718750	91.111115	
0.114659	0.079637	84.375000	88.888893	
0.090768	0.097347	86.328125	83.333336	
0.083045	0.080634	87.500000	87.777779	
0.088718	0.081376	85.156250	85.555557	
0.089228	0.105305	87.109375	85.555557	
0.084107	0.108426	85.937500	83.333336	
0.077166	0.100287	85.937500	81.111115	
0.076240	0.094066	86.718750	84.444450	
0.089745	0.109362	87.500000	86.666672	
0.077925	0.099122	87.500000	78.888893	
0.093276	0.077756	82.421875	84.444450	
0.076788	0.085020	88.671875	85.555557	
0.097040	0.073160	86.718750	88.888893	
0.102262	0.121852	84.765625	81.111115	
0.090341	0.110548	86.718750	78.888893	
0.100156	0.074749	83.984375	88.888893	
0.101329	0.085580	86.328125	84.444450	
0.071518	0.090132	87.890625	81.111115	
