Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.444444	0.455556	0.418264	0.428557	
0.455556	0.455556	0.544702	0.550454	
0.655556	0.666667	0.592129	0.601009	
0.822222	0.822222	0.826135	0.828052	
0.877778	0.888889	0.887084	0.889707	
0.888889	0.900000	0.894652	0.894955	
0.900000	0.900000	0.889808	0.891826	
0.888889	0.888889	0.868315	0.871140	
0.700000	0.733333	0.739253	0.749041	
0.644444	0.644444	0.650454	0.658829	
0.655556	0.666667	0.639859	0.644299	
0.777778	0.788889	0.695156	0.699899	
0.688889	0.711111	0.730373	0.733602	
0.711111	0.722222	0.814228	0.816246	
0.844444	0.844444	0.882442	0.883148	
0.866667	0.888889	0.869929	0.876791	
0.822222	0.833333	0.850656	0.855197	
0.833333	0.844444	0.817558	0.823915	
0.755556	0.777778	0.721695	0.733703	
0.466667	0.477778	0.520989	0.531483	
