task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,74.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,93.01,93.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,92.16,93.01,92.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,92.66,92.53,91.55,92.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,92.43,93.05,92.82,93.3,92.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,92.46,91.72,93.41,93.25,92.9,92.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,93.16,92.28,93.35,92.52,93.09,93.37,92.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,92.01,91.87,93.7,93.07,93.24,93.78,93.11,92.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,91.85,92.41,93.37,93.27,93.81,93.39,93.21,93.7,92.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,93.3,92.03,94.07,93.52,93.37,93.86,93.04,93.43,93.01,93.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,92.88,92.35,93.78,93.67,93.61,93.73,93.32,93.53,93.17,93.22,93.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,93.13,92.64,93.99,92.28,92.69,93.19,93.44,93.61,93.43,92.41,93.14,91.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,93.47,93.05,93.7,93.45,93.19,93.62,93.26,93.58,93.33,93.37,92.59,94.05,92.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,93.54,92.03,93.24,93.5,92.54,93.82,93.38,93.39,93.79,93.04,93.02,93.55,91.68,93.36,0.0,0.0,0.0,0.0,0.0,0.0
14,92.87,93.01,93.94,93.46,94.03,94.05,92.86,92.91,93.25,93.91,92.19,93.05,91.55,93.77,93.2,0.0,0.0,0.0,0.0,0.0
15,92.58,92.39,94.2,93.23,93.79,93.64,93.01,93.71,93.56,93.33,93.02,93.57,92.21,93.65,93.13,93.02,0.0,0.0,0.0,0.0
16,93.5,92.53,93.62,93.41,93.74,93.17,93.12,93.5,92.91,93.36,92.96,93.86,92.02,92.81,93.52,92.98,92.71,0.0,0.0,0.0
17,93.44,92.2,93.3,92.91,93.05,93.91,93.5,93.7,93.0,93.07,93.25,93.57,91.85,93.7,93.78,92.86,93.35,93.24,0.0,0.0
18,93.28,91.9,93.83,93.72,93.28,93.38,92.78,93.68,93.9,93.22,92.46,93.59,91.62,93.37,93.6,93.1,92.46,93.35,92.6,0.0
19,93.32,92.75,93.22,93.77,92.94,93.36,92.82,93.82,93.44,93.25,92.26,94.25,91.77,92.93,93.85,93.02,93.96,92.93,92.32,92.8
