task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,74.75,19.41,22.56,73.35,19.98,24.9,17.25,45.91,16.49,36.17,16.29,69.95,62.92,17.33,33.95,73.28,57.73,16.72,20.13,18.25
1,78.65,75.59,18.62,77.53,18.34,20.57,25.41,39.22,59.09,30.27,47.38,72.82,54.04,22.53,28.3,72.76,54.92,37.09,70.47,74.13
2,79.98,77.28,75.84,78.09,72.09,71.79,57.97,60.41,65.39,64.04,60.47,75.08,51.62,59.36,65.58,70.47,65.05,57.87,70.94,75.3
3,88.01,81.08,82.45,87.41,77.52,77.16,62.26,67.47,69.37,70.64,64.25,83.44,62.12,64.28,71.24,81.23,73.12,61.28,72.58,78.46
4,88.79,84.41,88.11,88.78,87.67,84.52,74.71,69.6,72.9,73.83,69.49,85.0,62.61,77.33,75.15,81.97,75.18,69.88,76.98,81.49
5,90.1,85.01,90.98,89.95,89.81,89.94,75.75,76.22,73.49,82.1,68.9,86.48,66.65,78.52,83.07,83.48,79.16,69.69,76.79,81.72
6,89.6,86.04,91.16,89.84,91.46,90.07,86.65,76.49,79.4,81.88,78.96,86.32,65.67,87.39,82.6,83.09,79.41,81.84,77.86,82.99
7,90.51,85.96,92.18,90.62,92.16,91.32,89.02,87.97,82.05,88.41,81.95,89.35,68.26,89.05,88.84,84.15,87.61,84.92,77.99,84.06
8,90.3,88.54,91.98,90.62,92.08,91.49,90.31,89.38,89.05,89.2,88.1,89.22,66.77,89.57,89.24,83.54,88.03,88.51,80.78,87.99
9,90.02,87.25,92.28,90.23,91.54,91.78,89.83,90.22,89.03,91.04,88.21,88.72,66.73,88.61,90.53,82.93,88.3,88.31,78.74,86.57
10,89.69,88.92,92.49,89.91,92.0,92.24,90.96,90.95,90.86,91.65,90.54,88.66,65.08,90.07,91.29,82.92,88.5,90.45,81.5,88.54
11,91.06,87.01,92.43,91.52,91.81,92.12,90.77,92.09,90.83,92.15,90.82,91.65,66.54,89.44,91.7,84.38,90.72,90.22,78.78,86.72
12,91.84,86.98,92.43,91.69,91.54,92.51,90.82,91.41,90.57,92.23,90.14,91.22,83.19,89.6,91.83,89.18,90.13,89.79,77.41,86.81
13,91.57,86.43,92.16,91.6,91.9,91.76,91.4,90.13,90.65,91.1,90.71,91.18,82.91,91.09,90.45,88.98,88.99,91.08,75.76,86.47
14,91.84,86.37,92.65,91.7,92.33,92.13,91.59,91.49,90.88,92.25,91.05,91.24,84.12,91.44,92.03,89.24,90.01,91.07,75.37,86.26
15,91.61,86.98,92.44,91.52,92.07,92.15,91.82,91.53,90.93,92.27,91.0,91.38,84.4,91.41,92.31,89.88,90.18,90.69,77.39,86.99
16,91.86,86.26,92.45,91.71,92.13,92.37,91.71,92.18,90.83,92.6,91.15,91.66,85.17,91.58,92.66,90.25,91.23,90.85,74.11,86.12
17,91.92,86.01,92.07,92.15,92.1,91.96,92.58,91.86,91.28,92.36,92.13,91.79,85.25,92.52,91.95,90.39,91.34,92.5,75.19,86.33
18,92.03,89.41,92.15,92.47,91.84,92.0,91.99,92.03,91.3,92.42,91.55,92.23,84.54,91.82,92.43,90.59,92.06,91.84,86.16,89.46
19,92.83,89.83,91.76,92.73,91.18,90.91,91.78,91.6,91.66,91.77,91.57,92.58,85.91,91.48,91.59,91.2,91.82,91.6,86.42,90.59
