task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,75.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,93.27,93.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,92.69,92.88,91.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,93.33,93.26,92.85,92.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,93.33,93.76,93.91,93.43,92.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,93.16,93.65,94.25,94.02,93.43,92.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,93.98,94.16,94.24,94.05,94.02,93.92,93.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,93.65,94.67,94.32,93.97,94.15,94.08,93.29,92.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,92.4,93.8,94.14,94.68,94.43,94.21,93.66,94.01,92.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,93.99,94.38,94.49,94.62,94.45,93.98,93.84,94.03,92.59,92.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,93.76,94.44,93.77,94.91,94.54,93.57,94.2,93.98,93.49,93.08,91.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,93.7,93.83,94.25,94.44,93.23,93.76,94.17,94.58,93.99,92.32,93.49,91.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,93.62,94.16,94.21,94.21,94.63,94.21,94.49,93.67,94.58,93.69,92.58,92.89,92.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,93.42,93.41,93.97,94.4,93.38,94.43,94.4,94.05,94.52,93.59,92.96,93.15,92.78,92.03,0.0,0.0,0.0,0.0,0.0,0.0
14,93.08,93.8,93.42,93.65,94.11,94.37,93.28,94.12,93.65,94.23,93.47,93.04,93.57,92.6,92.05,0.0,0.0,0.0,0.0,0.0
15,93.13,93.0,93.6,93.85,93.98,93.64,93.85,93.79,94.27,93.3,93.64,93.85,93.6,93.3,91.85,91.51,0.0,0.0,0.0,0.0
16,92.72,93.08,93.36,93.92,93.78,93.66,93.28,94.54,93.92,93.55,93.58,93.66,93.74,92.75,92.53,92.37,91.53,0.0,0.0,0.0
17,92.71,92.77,93.32,93.38,93.51,93.65,93.4,93.56,93.48,92.79,93.59,93.44,93.94,93.03,93.23,92.74,90.98,92.01,0.0,0.0
18,93.03,93.22,93.08,94.3,93.66,93.74,93.19,93.84,94.23,92.44,92.8,93.75,93.4,93.08,92.71,92.95,92.36,92.84,92.11,0.0
19,92.66,93.15,93.16,93.57,93.13,93.68,92.7,93.58,93.42,93.3,91.82,93.24,93.29,93.14,93.03,93.09,92.78,92.53,92.66,91.24
