task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,75.81,75.94,74.41,61.58,50.86,40.75,27.71,24.14,17.16,14.87,16.36,15.46,14.82,15.69,16.59,18.07,18.36,18.34,19.44,20.15
1,88.03,88.18,87.18,71.91,59.04,46.18,31.02,26.72,16.06,12.67,13.16,11.09,10.73,10.71,11.55,14.36,16.43,17.87,19.77,21.16
2,89.94,90.91,90.23,76.74,62.91,49.43,33.99,29.52,18.27,13.94,15.44,12.39,11.95,11.38,12.18,14.78,16.28,17.97,19.27,20.68
3,90.02,91.76,91.93,87.71,79.91,68.21,50.08,43.41,25.05,18.09,18.7,14.35,13.72,12.81,13.48,14.93,16.62,18.06,19.8,21.16
4,90.77,92.42,92.81,91.33,88.31,81.46,65.96,59.54,34.86,25.11,24.54,17.86,17.04,15.22,15.04,16.1,17.09,18.35,18.83,19.34
5,91.0,92.81,93.52,93.12,91.89,88.94,80.29,75.25,46.94,32.14,29.45,19.77,18.12,16.23,15.73,16.72,17.27,18.47,18.66,19.18
6,91.27,92.94,93.49,93.99,93.3,91.94,88.61,85.55,63.79,46.28,39.51,24.22,22.21,17.4,16.63,16.85,17.66,18.38,18.59,18.01
7,91.17,92.93,93.39,94.06,93.84,93.26,91.21,90.02,73.55,55.13,46.5,27.95,25.49,18.78,17.44,17.43,17.59,18.28,19.07,17.96
8,91.04,92.84,93.41,94.12,93.9,93.64,92.8,92.33,86.23,75.52,67.74,43.27,39.19,27.27,19.7,16.32,16.44,17.11,18.38,18.43
9,90.37,92.13,92.66,93.68,93.47,93.43,93.19,92.82,90.56,86.43,81.07,60.75,56.07,39.15,26.84,19.27,17.92,18.38,19.58,20.26
10,90.67,92.8,93.01,93.88,93.9,93.6,93.3,93.26,92.14,89.48,87.22,71.03,67.36,49.46,34.65,24.63,22.0,21.54,21.9,22.16
11,90.42,92.39,93.01,93.9,94.13,93.9,93.66,93.55,92.94,92.11,90.85,85.15,82.7,68.82,50.97,34.63,28.76,27.64,25.89,24.2
12,90.37,92.32,92.71,93.73,93.62,93.41,93.15,93.1,92.23,91.77,91.62,88.67,87.63,78.57,63.03,44.03,34.88,32.45,27.91,24.01
13,89.41,91.49,92.16,93.07,93.02,93.07,92.83,92.71,92.89,92.61,92.47,91.14,90.97,86.39,74.39,54.7,43.3,39.53,33.39,27.24
14,89.24,91.2,91.7,92.72,92.9,92.77,92.79,92.66,92.51,92.8,92.49,92.85,92.73,91.24,86.08,70.62,57.5,52.6,41.15,30.04
15,89.19,91.62,92.11,93.3,93.16,93.18,92.93,92.83,92.71,92.63,92.13,92.26,92.36,91.56,89.22,82.94,72.31,67.55,54.97,37.11
16,89.65,91.31,91.71,92.81,92.48,92.11,92.3,92.35,91.55,91.15,91.48,91.42,91.51,91.36,90.32,88.24,83.32,79.63,68.74,48.55
17,88.77,91.11,91.6,92.63,92.18,92.14,92.27,92.01,92.1,91.96,91.89,92.34,92.28,92.05,91.16,90.0,87.67,86.15,77.87,58.18
18,88.35,90.35,90.83,91.86,91.81,92.08,91.94,91.97,91.85,91.71,91.88,91.98,92.23,91.53,90.68,90.98,89.5,88.65,84.42,66.9
19,85.61,88.75,89.61,91.7,91.82,91.93,91.83,91.28,91.61,91.85,91.67,92.29,92.6,91.79,91.23,90.95,90.3,90.1,87.83,79.96
