task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,75.86,18.92,22.33,74.57,19.88,24.67,17.09,46.48,15.95,36.55,16.3,71.09,63.08,17.23,33.95,74.27,58.74,16.4,19.47,17.75
1,81.38,79.06,18.44,80.28,18.93,19.62,28.2,38.56,61.57,28.44,49.06,74.99,55.75,24.61,26.21,74.56,55.83,39.14,73.57,77.64
2,83.67,82.76,82.12,81.45,77.72,77.18,59.94,63.06,69.46,68.63,62.4,78.1,53.96,63.15,70.14,73.54,67.57,59.08,76.9,80.93
3,90.44,85.47,86.33,89.98,81.72,81.44,64.29,70.22,71.32,74.66,64.25,86.72,65.14,67.08,75.24,84.28,76.27,61.44,78.11,82.91
4,90.39,86.88,89.96,90.15,89.2,86.68,74.58,70.76,75.22,76.4,70.29,86.49,65.75,77.92,77.77,83.89,76.23,69.9,80.44,84.52
5,90.69,87.79,92.01,91.04,91.34,90.66,77.07,77.67,76.83,83.19,72.35,87.52,67.93,80.34,84.3,85.06,80.3,72.34,80.83,84.72
6,90.62,87.25,92.37,90.66,92.6,91.31,89.54,78.63,83.36,83.82,83.27,87.45,65.66,89.68,84.38,83.6,80.6,85.31,79.23,84.71
7,89.53,86.83,92.08,89.98,92.14,91.75,88.88,88.8,82.96,89.25,82.07,89.18,63.58,88.67,89.19,82.06,87.81,84.68,81.25,85.25
8,90.49,89.42,92.74,90.76,92.52,92.34,91.12,89.88,90.25,89.67,89.62,89.27,67.55,90.57,89.75,83.79,87.62,89.9,81.29,88.62
9,88.35,87.36,92.2,88.98,91.75,92.35,89.67,90.55,88.57,91.55,87.24,88.09,62.62,88.63,91.43,80.48,88.69,87.49,79.18,86.43
10,89.6,88.87,91.98,89.86,91.82,91.93,91.46,91.23,91.61,91.73,91.48,88.67,67.27,90.29,91.38,83.4,88.62,90.7,80.93,88.87
11,89.48,86.51,91.11,90.14,91.08,91.0,89.63,90.74,89.71,91.06,89.58,90.53,64.31,88.83,90.94,82.77,89.47,88.92,77.65,85.56
12,92.2,87.95,91.8,92.05,91.11,91.2,90.63,91.45,90.73,91.28,90.55,91.68,83.07,89.31,91.08,89.33,90.06,89.91,78.65,87.7
13,91.32,86.37,90.4,91.13,90.58,90.75,90.79,89.83,90.02,90.26,90.13,90.69,84.29,90.39,89.87,88.97,88.79,89.72,77.95,86.43
14,91.36,85.77,91.93,91.31,91.66,91.87,90.94,91.38,90.3,92.11,90.61,91.13,83.41,90.71,92.25,88.67,89.99,90.23,75.31,85.33
15,91.47,86.4,92.27,91.61,91.37,91.92,90.58,91.83,90.0,92.49,90.41,91.25,84.98,90.41,92.53,90.23,90.08,89.9,77.25,86.12
16,91.86,84.77,90.41,91.86,89.66,89.99,88.83,91.79,88.65,91.83,88.87,91.81,84.01,88.52,91.35,90.1,91.45,87.98,74.63,84.07
17,90.68,84.15,90.1,90.72,90.46,89.85,90.04,90.21,89.59,90.98,89.89,90.46,83.89,89.88,90.82,88.96,89.93,90.21,74.39,84.22
18,91.22,89.02,90.92,91.06,90.75,90.1,90.74,91.57,90.7,91.43,90.91,91.47,82.92,90.27,91.21,89.6,91.18,91.05,85.93,88.85
19,90.18,89.28,88.48,90.14,88.48,89.26,89.61,89.69,90.82,89.61,90.52,90.81,81.67,89.16,89.45,88.44,90.07,90.36,86.69,90.3
