task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,12.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,91.91,92.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,90.85,89.5,90.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,90.02,89.39,89.37,90.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,89.51,88.62,89.54,89.18,90.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,88.01,88.32,89.01,88.87,87.65,89.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,87.93,88.08,88.31,88.61,89.19,88.44,87.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,87.96,87.95,88.88,85.61,88.12,88.5,87.9,87.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,86.92,87.71,88.8,87.83,88.59,88.87,86.83,88.42,87.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,87.78,87.68,88.79,86.85,88.47,89.26,87.79,88.46,87.24,87.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,87.44,87.09,87.64,86.88,88.24,87.04,87.87,88.54,87.6,88.2,87.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,87.64,86.9,89.05,87.93,89.18,88.94,88.77,87.94,87.72,88.47,88.49,87.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,87.21,86.51,89.47,88.71,89.0,88.01,89.12,88.85,87.65,88.44,88.36,88.58,86.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,88.16,86.77,89.87,87.95,89.69,88.18,88.73,88.13,88.38,88.91,89.1,88.25,86.06,89.0,0.0,0.0,0.0,0.0,0.0,0.0
14,88.08,86.76,89.45,88.25,89.17,89.43,88.85,89.45,86.92,89.68,88.06,88.57,86.94,88.43,89.0,0.0,0.0,0.0,0.0,0.0
15,88.35,86.79,89.09,88.4,89.92,89.53,89.64,89.0,88.05,89.68,89.09,88.58,87.19,89.14,88.75,87.87,0.0,0.0,0.0,0.0
16,88.75,86.84,90.22,88.03,89.75,89.44,89.24,89.47,88.2,89.74,89.2,88.55,87.65,89.33,89.15,88.71,88.26,0.0,0.0,0.0
17,88.73,86.02,90.06,89.22,89.88,89.41,89.03,88.78,88.34,88.77,88.78,88.94,86.19,88.81,88.89,89.22,89.47,89.26,0.0,0.0
18,89.42,87.79,89.97,89.29,89.58,89.41,89.31,89.76,88.47,90.38,89.61,90.04,89.1,89.32,89.7,88.52,89.43,89.1,87.2,0.0
19,89.14,87.1,88.64,89.12,90.03,89.64,89.65,89.51,88.86,88.94,90.57,90.36,88.43,90.28,88.55,88.55,89.41,89.82,87.65,88.49
