task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,77.24,77.0,75.58,61.56,51.27,40.33,27.77,24.1,17.17,15.17,16.3,15.47,14.77,15.66,16.46,17.82,18.44,18.6,19.65,20.22
1,89.36,89.53,88.47,72.91,59.22,46.17,31.03,26.87,16.42,13.06,14.04,11.68,11.47,11.22,11.95,15.1,16.51,17.82,19.48,20.59
2,90.97,91.85,91.32,78.18,63.88,49.22,33.46,29.56,19.45,15.45,17.1,14.34,13.97,13.15,13.95,16.6,17.44,18.82,20.03,21.2
3,91.26,92.99,93.04,89.21,82.32,71.93,53.55,46.76,26.49,19.28,19.79,15.05,14.27,12.81,12.78,14.02,14.8,16.34,17.39,18.82
4,91.5,93.27,93.69,92.49,89.85,84.89,70.61,64.03,36.15,25.43,23.26,17.06,16.43,14.42,13.75,14.52,15.03,16.1,17.04,17.92
5,91.98,93.62,93.85,93.86,92.74,89.92,81.87,76.47,47.53,34.24,29.25,19.27,18.23,16.34,15.26,15.07,15.39,16.51,17.32,18.62
6,91.22,92.94,93.43,94.03,93.9,92.82,89.96,87.3,65.84,47.93,40.69,23.17,21.44,17.5,16.28,15.88,16.25,16.72,17.28,17.95
7,91.32,93.17,93.65,94.01,94.09,93.79,91.84,90.66,74.62,56.3,47.86,28.72,26.41,19.52,17.08,16.02,16.26,16.83,17.7,19.12
8,91.21,92.81,93.49,94.0,94.12,93.99,93.28,92.76,87.78,77.03,70.73,45.38,40.61,27.52,20.12,15.58,15.13,15.86,16.22,18.44
9,90.4,92.17,92.63,92.74,92.58,92.32,92.18,91.95,90.06,86.16,82.25,63.48,58.99,41.78,28.25,19.66,17.78,18.33,18.92,20.55
10,89.88,92.36,92.75,93.94,93.93,93.88,93.59,93.48,92.72,90.32,88.91,74.05,70.42,52.25,34.9,22.38,18.48,18.75,18.28,21.64
11,89.33,91.77,92.52,93.36,93.26,93.15,92.81,92.68,91.99,91.13,90.56,85.95,83.54,72.01,55.69,36.08,27.06,25.52,20.83,19.18
12,89.3,91.68,92.43,93.41,93.44,93.12,92.95,93.02,92.2,92.28,92.21,89.85,89.17,80.26,64.13,41.47,30.32,27.83,22.46,20.05
13,88.0,89.86,90.83,92.25,92.14,92.28,92.21,92.21,91.9,92.26,92.22,91.59,91.48,87.82,76.65,55.79,43.64,40.68,32.36,26.87
14,88.57,90.67,91.31,92.14,92.22,92.22,92.36,92.34,92.42,92.29,92.26,92.02,91.72,89.66,85.26,69.24,54.93,50.46,39.64,29.36
15,87.32,89.46,90.0,91.64,91.46,92.07,91.9,91.77,91.25,91.13,91.49,91.85,91.8,91.51,89.69,83.71,72.02,68.35,54.9,38.95
16,85.53,88.1,88.94,90.48,89.9,90.4,90.68,90.61,90.61,90.81,90.44,91.38,91.34,91.5,90.8,88.32,82.71,78.62,67.43,45.07
17,86.07,88.47,89.3,90.19,89.79,89.9,90.18,89.83,90.22,91.01,90.88,91.54,91.35,91.22,90.89,89.82,87.13,85.42,75.09,53.2
18,85.74,88.35,89.33,90.81,90.88,91.11,91.42,91.28,91.45,91.43,90.74,91.44,91.6,91.48,91.33,91.26,90.14,89.1,84.48,65.86
19,84.49,86.55,87.6,88.96,89.0,89.33,89.33,89.08,89.45,89.38,89.54,90.34,90.58,90.92,91.1,91.35,90.53,90.23,87.81,79.63
