task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,31.11,37.29,40.46,52.76,56.53,57.24,53.12,50.25,40.34,34.93,31.87,26.58,25.56,21.03,19.97,19.32,18.67,21.44,21.35,23.02
1,39.93,48.38,52.6,66.54,68.64,67.21,61.31,57.08,45.01,45.07,45.02,53.42,54.26,60.26,62.78,59.8,54.32,53.19,44.48,35.12
2,43.08,54.27,59.75,75.68,78.52,75.97,67.83,63.44,48.48,46.57,47.44,56.67,58.38,65.52,69.29,61.85,52.44,48.83,38.75,29.16
3,41.02,52.84,58.57,78.63,82.46,80.36,71.41,66.11,48.11,46.79,47.48,61.19,64.75,74.67,79.66,70.46,58.14,53.56,39.99,26.7
4,39.87,52.11,57.97,80.77,85.73,85.81,81.99,78.38,62.67,57.87,57.39,65.51,68.68,77.51,82.2,71.38,57.45,52.38,37.74,24.86
5,39.64,51.63,57.02,80.8,86.21,86.34,83.99,80.49,65.51,58.89,57.75,66.83,69.91,79.85,86.68,83.96,79.13,75.44,63.8,46.36
6,39.59,53.03,58.5,82.76,88.53,88.86,87.92,85.24,71.43,62.5,61.13,67.02,69.77,79.71,87.05,85.37,81.79,78.34,68.3,49.2
7,38.15,50.7,56.73,82.38,88.45,89.36,89.3,86.56,74.08,65.73,63.03,68.47,70.95,80.55,88.36,88.53,86.45,83.39,74.81,54.23
8,40.99,53.07,58.69,82.22,88.62,89.39,90.33,88.65,83.77,77.63,74.05,74.7,76.8,82.88,89.16,89.18,87.74,85.44,77.3,58.88
9,41.41,53.9,59.29,82.33,88.85,89.65,90.62,88.79,85.49,79.62,76.39,76.29,77.79,82.95,89.84,90.88,90.56,89.1,85.16,71.47
10,41.83,54.07,59.93,82.29,89.45,90.51,91.46,90.63,88.85,84.9,82.23,79.21,79.6,83.72,89.95,90.51,90.49,89.6,86.33,71.75
11,41.78,54.41,60.82,83.11,89.51,90.92,91.86,90.91,89.73,85.06,83.06,80.07,81.12,84.61,90.51,91.27,91.72,90.76,88.86,76.33
12,73.9,77.47,80.63,86.79,90.33,90.39,91.31,90.26,89.16,84.23,81.09,78.33,78.97,82.84,89.85,91.34,91.82,90.77,88.93,75.22
13,78.28,78.75,80.91,86.49,89.8,90.02,90.97,90.23,90.26,87.75,86.76,84.16,84.71,85.22,89.67,89.95,90.67,89.26,87.11,71.32
14,83.37,83.07,84.54,87.6,90.28,90.14,91.2,90.42,90.45,87.59,86.88,82.68,82.83,85.01,89.57,90.72,90.91,89.54,87.69,72.87
15,83.96,82.85,83.78,86.85,89.54,89.77,91.52,90.46,91.23,89.54,89.07,85.97,86.07,86.46,90.15,90.86,91.45,90.63,88.93,75.2
16,87.18,87.68,88.76,89.33,90.91,90.62,91.35,90.66,90.9,89.01,89.53,85.68,85.47,85.73,89.71,89.79,90.73,89.5,88.35,74.14
17,86.84,87.08,88.13,88.29,89.57,89.2,90.37,89.15,90.65,89.83,90.38,88.57,88.79,88.5,90.64,90.22,91.02,90.02,88.37,74.26
18,88.02,88.66,89.55,89.59,90.76,90.2,91.3,90.05,90.6,89.46,90.33,88.39,88.85,87.97,89.98,89.96,91.26,90.02,88.34,74.6
19,87.77,88.63,89.96,89.4,90.68,89.57,90.94,89.9,90.88,89.61,90.74,89.85,90.48,89.31,90.83,90.3,90.87,89.67,88.47,75.63
