task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,71.7,14.88,18.9,70.9,17.69,21.0,16.73,40.84,14.26,31.76,15.47,67.21,62.02,16.64,30.01,71.45,52.85,15.93,15.45,15.18
1,75.27,74.37,17.53,74.47,17.76,19.59,26.92,39.57,59.84,29.91,49.03,70.3,53.21,23.97,27.72,70.18,55.04,38.68,68.41,73.17
2,76.28,74.99,72.97,75.25,69.8,70.41,59.72,62.23,66.03,64.77,61.8,73.77,51.11,61.29,64.99,67.73,66.03,59.05,67.02,73.08
3,86.25,79.9,78.58,86.01,73.84,73.85,58.35,66.0,66.45,68.07,60.41,82.94,60.21,61.06,68.98,79.53,72.55,57.37,70.66,76.57
4,87.84,82.68,86.83,87.94,86.27,82.85,72.39,69.16,72.38,73.42,68.59,84.59,62.4,75.7,74.07,81.15,75.2,69.02,74.26,79.97
5,88.83,83.98,90.32,88.96,89.33,89.3,74.42,76.08,73.81,81.19,69.63,85.92,64.69,77.57,82.29,82.69,78.41,69.94,76.16,81.59
6,88.66,85.38,91.21,88.78,91.42,89.9,87.27,77.06,80.95,82.23,80.98,85.57,64.46,87.77,82.77,82.04,78.37,83.28,76.43,82.93
7,89.19,84.81,91.9,89.59,91.44,91.54,88.09,88.23,81.03,88.85,81.67,88.82,65.06,88.12,88.98,82.2,86.8,84.02,76.74,82.65
8,89.32,87.18,91.93,89.59,91.86,91.43,90.18,88.49,88.46,89.08,87.83,88.45,63.91,89.52,89.24,81.97,87.07,88.52,78.36,86.45
9,89.51,86.68,92.16,90.19,91.45,92.18,90.13,90.71,88.89,91.69,88.27,89.56,65.33,89.35,91.24,82.73,89.13,88.76,77.68,86.06
10,89.92,87.77,92.17,90.22,91.81,91.85,91.18,90.69,90.59,91.4,90.7,89.59,65.69,90.52,90.95,82.99,88.93,90.46,78.77,87.32
11,90.88,87.37,91.94,91.31,91.32,91.94,90.95,91.38,90.81,91.91,91.17,91.27,66.66,89.86,91.46,84.21,90.3,90.75,78.24,87.02
12,92.15,87.28,91.97,92.46,91.36,91.89,90.52,91.38,90.11,91.84,90.59,92.0,82.2,89.62,91.5,89.48,90.12,90.15,76.61,86.73
13,91.71,86.68,92.06,91.88,92.34,91.94,91.98,90.81,90.63,91.37,90.86,91.61,83.63,91.82,90.84,89.36,89.55,91.16,76.44,86.47
14,91.89,87.08,92.21,91.79,91.91,92.15,91.68,91.39,90.74,92.26,91.1,91.74,83.66,91.5,92.03,89.0,90.13,90.93,77.13,87.04
15,92.47,85.69,92.27,92.46,92.14,92.25,91.69,91.93,90.37,92.48,90.99,92.15,86.28,91.73,92.39,91.15,90.32,91.1,73.55,85.52
16,92.36,86.09,92.27,92.49,91.7,92.2,91.49,92.5,90.1,92.88,90.66,92.5,85.04,91.45,92.92,90.6,91.96,90.96,74.7,85.68
17,92.39,85.42,92.37,92.31,91.95,92.15,92.28,92.08,90.87,92.61,91.9,92.52,85.52,92.18,92.47,90.68,91.93,92.06,73.65,85.53
18,92.08,88.96,91.83,92.21,91.51,91.98,91.31,92.01,91.44,92.63,91.71,92.33,85.21,91.48,92.58,90.4,91.89,91.85,84.57,89.06
19,92.15,90.3,91.77,92.48,91.86,92.0,91.82,91.89,91.87,92.38,92.02,92.53,84.54,92.05,92.44,90.4,91.61,92.03,87.25,90.64
