task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,72.09889001009081,19.58627648839556,17.911200807265388,72.31079717457114,16.508577194752775,20.010090817356208,14.57114026236125,44.81331987891019,13.985872855701311,32.643794147325934,13.087790110998991,68.970736629667,60.96871846619576,14.106962663975782,29.889001009081735,68.52674066599394,57.749747729566096,13.662966700302725,21.029263370333,19.132189707366297
1,76.82139253279516,75.01513622603431,16.649848637739655,75.63067608476287,17.658930373360242,18.80928355196771,25.438950554994953,37.90110998990918,58.75882946518668,28.113017154389507,47.36629667003027,70.79717457114026,53.46115035317861,22.028254288597378,25.681130171543895,70.07063572149345,53.87487386478305,36.41775983854692,69.48536831483351,73.39051463168516
2,76.81130171543894,74.71241170534813,73.4510595358224,75.5196770938446,69.58627648839555,70.0100908173562,59.303733602421794,59.919273461150354,65.07568113017155,63.01715438950555,60.595358224016145,73.36024217961655,50.57517658930373,60.11099899091826,63.6226034308779,68.14328960645813,64.26841574167507,58.25428859737639,67.44702320887991,72.97679112008073
3,85.42885973763875,78.45610494450051,78.84964682139254,85.61049445005045,74.117053481332,74.52068617558022,57.61856710393542,64.97477295660948,64.6619576185671,66.94248234106962,58.557013118062564,82.15943491422806,59.87891019172553,58.92028254288597,67.57820383451059,78.42583249243188,71.65489404641777,56.17558022199798,69.57618567103935,74.75277497477296
4,87.54793138244197,81.9172552976791,86.79112008072654,87.63874873864783,85.82240161453078,83.087790110999,72.34106962663975,68.39556004036326,71.18062563067609,73.53178607467206,67.36629667003027,84.07669021190716,63.65287588294652,74.35923309788093,73.91523713420787,81.28153380423814,74.76286579212916,67.53784056508577,73.2896064581231,78.93037336024219
5,88.57719475277497,84.08678102926336,90.15136226034309,88.66801210898083,89.06155398587286,88.79919273461151,74.45005045408678,74.91422805247225,73.06760847628658,80.76690211907164,68.970736629667,85.40867810292633,66.56912209889,76.75075681130171,81.20080726538849,82.81533804238143,77.76992936427851,68.71846619576186,75.10595358224016,80.88799192734612
6,89.15237134207871,85.50958627648839,90.71644803229061,89.1321897073663,91.54389505549949,89.29364278506559,87.20484359233097,74.72250252270435,80.91826437941474,81.04944500504541,80.17154389505549,85.46922300706358,66.41775983854693,87.37638748738648,81.8970736629667,83.04742684157416,78.37537840565086,82.85570131180626,77.54793138244197,83.23915237134207
7,89.50554994954591,85.46922300706358,91.7255297679112,90.11099899091826,91.52371342078709,91.10998990918264,88.24419778002019,87.54793138244197,81.372351160444,88.20383451059536,81.31180625630677,88.70837537840565,68.07265388496468,87.87083753784057,88.42583249243188,83.6326942482341,86.76084762865793,83.93541876892029,77.08375378405651,83.51160443995964
8,89.63673057517659,87.82038345105954,91.98789101917255,89.86881937436932,91.51362260343087,91.41271442986881,89.656912209889,88.11301715438951,88.36528758829465,88.6175580221998,87.255297679112,88.89001009081736,66.39757820383451,88.91019172552977,89.05146316851665,83.11806256306761,87.29566094853683,87.88092835519677,79.78809283551968,86.83148335015136
9,89.25327951564077,87.46720484359233,92.66397578203835,89.94954591321897,91.99798183652877,91.95761856710394,90.17154389505549,90.51463168516649,89.11200807265388,91.07971745711403,87.71947527749748,88.7790110998991,65.46922300706358,89.38446014127145,91.09989909182644,82.6034308779011,88.63773965691222,88.52674066599394,79.72754793138245,87.02320887991927
10,89.15237134207871,87.99192734611503,92.401614530777,89.43491422805248,91.80625630676084,92.07870837537841,90.64581231079717,90.85771947527749,90.48435923309788,91.51362260343087,90.47426841574168,88.81937436932391,64.80322906155399,89.90918264379415,90.94853683148335,82.15943491422806,88.64783047426842,89.82845610494451,80.82744702320888,87.86074672048436
11,90.98890010090817,87.83047426841574,92.30070635721493,91.0191725529768,91.75580221997981,92.16952573158426,90.91826437941474,91.18062563067609,90.71644803229061,91.45307769929364,90.90817356205852,90.95862764883955,67.60847628657922,90.02018163471242,91.0191725529768,84.27850655903129,89.94954591321897,90.6962663975782,79.61654894046418,87.55802219979819
12,92.12916246215943,87.598385469223,92.37134207870838,91.96770938446014,91.64480322906155,92.12916246215943,90.79717457114026,91.39253279515641,90.89808274470232,91.70534813319878,91.0393541876892,91.33198789101917,83.30978809283552,89.61654894046418,91.46316851664984,89.25327951564077,89.79818365287588,90.21190716448032,78.21392532795156,87.34611503531787
13,91.78607467204844,87.63874873864783,92.36125126135217,91.9172552976791,92.20988900100909,92.34106962663975,92.02825428859738,91.25126135216952,91.05953582240161,91.74571140262361,91.67507568113017,91.16044399596367,83.72351160443996,91.28153380423814,91.19071644803229,89.56609485368315,90.0100908173562,91.07971745711403,77.89101917255297,87.51765893037336
14,91.61453077699294,86.68012108980828,92.53279515640767,91.64480322906155,92.401614530777,92.33097880928355,91.93743693239152,91.61453077699294,90.61553985872855,92.2502522704339,91.2108980827447,91.13017154389506,85.03531786074672,91.77598385469223,92.01816347124117,89.87891019172552,90.28254288597377,90.77699293642785,77.03329969727548,86.42785065590313
15,92.37134207870838,86.77093844601413,92.63370332996973,92.14934409687184,92.55297679112009,92.34106962663975,91.73562058526741,91.87689202825429,91.18062563067609,92.18970736629667,91.81634712411706,91.62462159434914,86.80121089808274,91.39253279515641,92.35116044399597,91.18062563067609,90.3329969727548,91.35216952573158,76.42785065590313,86.79112008072654
16,92.71442986881938,87.22502522704339,92.42179616548941,92.72452068617558,92.2603430877901,92.11907164480323,91.54389505549949,92.44197780020181,91.10998990918264,92.79515640766903,91.30171543895055,92.56306760847629,86.17558022199798,91.29162462159435,92.67406659939455,91.28153380423814,92.02825428859738,90.83753784056509,77.54793138244197,86.97275479313825
17,92.55297679112009,86.06458123107971,92.20988900100909,92.53279515640767,92.32088799192735,92.31079717457114,92.2401614530777,92.13925327951564,91.42280524722503,92.70433905146317,92.07870837537841,92.30070635721493,86.39757820383451,92.12916246215943,92.62361251261352,91.30171543895055,91.57416750756812,92.23007063572149,75.90312815338042,86.28657921291625
18,92.52270433905146,89.83854692230071,91.81634712411706,92.33097880928355,91.93743693239152,91.48335015136226,92.04843592330978,92.11907164480323,91.7255297679112,92.401614530777,92.38143289606458,92.2401614530777,86.34712411705348,92.09889001009081,92.17961654894046,91.2209889001009,91.67507568113017,92.21997981836529,85.29767911200807,89.88900100908174
19,92.27043390514632,90.686175580222,91.54389505549949,92.35116044399597,91.9071644803229,91.53380423814329,92.21997981836529,92.04843592330978,92.29061553985873,92.15943491422806,92.27043390514632,92.2401614530777,85.6912209889001,91.61453077699294,92.10898082744703,90.78708375378406,91.5640766902119,92.23007063572149,87.78002018163471,91.04944500504541
